title,score,evaluate,quote,link_url
荒蛮故事,8.8,458839人评价,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/
冰川时代,8.6,638355人评价,松鼠才是角儿。,https://movie.douban.com/subject/1291578/
爆裂鼓手,8.7,612418人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/
恐怖游轮,8.5,902018人评价,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/
牯岭街少年杀人事件,8.9,318868人评价,弱者送给弱者的一刀。,https://movie.douban.com/subject/1292329/
东京教父,9.0,247834人评价,,https://movie.douban.com/subject/1310177/
贫民窟的百万富翁,8.6,764985人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/
大佛普拉斯,8.7,489187人评价,人们可以登上月球，却永远无法探索人们内心的宇宙。,https://movie.douban.com/subject/27059130/
魔女宅急便,8.7,477335人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://movie.douban.com/subject/1307811/
遗愿清单,8.7,484286人评价,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/
东邪西毒,8.6,594104人评价,电影诗。,https://movie.douban.com/subject/1292328/
title,score,evaluate,quote,link_url
你看起来好像很好吃,8.9,345148人评价,感情不分食草或者食肉。,https://movie.douban.com/subject/4848115/
可可西里,8.9,314863人评价,坚硬的信仰。,https://movie.douban.com/subject/1308857/
城市之光,9.3,154354人评价,永远的小人物，伟大的卓别林。,https://movie.douban.com/subject/1293908/
黑天鹅,8.6,800870人评价,黑暗之美。,https://movie.douban.com/subject/1978709/
源代码,8.5,861267人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/
末路狂花,8.9,279821人评价,没有了退路，只好飞向自由。,https://movie.douban.com/subject/1291992/
海边的曼彻斯特,8.6,575739人评价,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/
真爱至上,8.5,758839人评价,爱，是个动词。,https://movie.douban.com/subject/1292401/
波西米亚狂想曲,8.6,630432人评价,,https://movie.douban.com/subject/5300054/
雨人,8.7,415691人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/
青蛇,8.6,546088人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://movie.douban.com/subject/1303394/
初恋这件小事,8.5,1001230人评价,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/
爱乐之城,8.4,983503人评价,,https://movie.douban.com/subject/25934014/
人工智能,8.7,462505人评价,对爱的执着，可以超越一切。,https://movie.douban.com/subject/1302827/
恋恋笔记本,8.5,695120人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/
疯狂的麦克斯4：狂暴之路,8.7,550806人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,https://movie.douban.com/subject/3592854/
终结者2：审判日,8.8,353614人评价,少见的超越首部的续集，动作片中的经典。,https://movie.douban.com/subject/1291844/
虎口脱险,8.9,268496人评价,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/
芙蓉镇,9.3,153294人评价,,https://movie.douban.com/subject/1297880/
罗生门,8.8,327259人评价,人生的N种可能性。,https://movie.douban.com/subject/1291879/
新龙门客栈,8.7,462049人评价,嬉笑怒骂，调风动月。,https://movie.douban.com/subject/1292287/
无耻混蛋,8.7,499401人评价,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/
崖上的波妞,8.6,519902人评价,,https://movie.douban.com/subject/1959877/
千钧一发,8.8,314280人评价,一部能引人思考的科幻励志片。,https://movie.douban.com/subject/1300117/
花束般的恋爱,8.6,679508人评价,,https://movie.douban.com/subject/34874432/
title,score,evaluate,quote,link_url
彗星来的那一夜,8.6,610185人评价,小成本大魅力。,https://movie.douban.com/subject/25807345/
萤火虫之墓,8.7,414213人评价,幸福是生生不息，却难以触及的远。 ,https://movie.douban.com/subject/1293318/
哈利·波特与死亡圣器(上),8.5,607992人评价,最忠于原著的一部。,https://movie.douban.com/subject/2051007/
奇迹男孩,8.6,566451人评价,世界不完美，爱会有奇迹。,https://movie.douban.com/subject/26787574/
黑客帝国2：重装上阵,8.7,420391人评价,一个精彩的世界观正在缓缓建立。,https://movie.douban.com/subject/1304141/
二十二,8.7,298930人评价,有一些东西不应该被遗忘。,https://movie.douban.com/subject/26430107/
白日梦想家,8.6,530574人评价,,https://movie.douban.com/subject/2133323/
高山下的花环,9.5,104353人评价,,https://movie.douban.com/subject/1422283/
火星救援,8.5,762240人评价,,https://movie.douban.com/subject/25864085/
战争之王,8.7,382357人评价,做一颗让别人需要你的棋子。,https://movie.douban.com/subject/1419936/
血钻,8.7,393193人评价,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/
步履不停,8.8,291259人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://movie.douban.com/subject/2222996/
房间,8.8,377706人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://movie.douban.com/subject/25724855/
千年女优,8.8,283006人评价,爱情是一场没有尽头的虚幻追逐。,https://movie.douban.com/subject/1307394/
魂断蓝桥,8.8,288320人评价,中国式内在的美国电影。,https://movie.douban.com/subject/1293964/
哈利·波特与凤凰社,8.5,603236人评价,,https://movie.douban.com/subject/1457217/
谍影重重2,8.7,366068人评价,谁说王家卫镜头很晃？,https://movie.douban.com/subject/1308767/
大红灯笼高高挂,8.8,300009人评价,,https://movie.douban.com/subject/1293323/
蜘蛛侠：平行宇宙,8.6,696184人评价,,https://movie.douban.com/subject/26374197/
弱点,8.7,324732人评价,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。,https://movie.douban.com/subject/3552028/
谍影重重,8.6,444581人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,https://movie.douban.com/subject/1304102/
阿飞正传,8.5,529558人评价,王家卫是一种风格，张国荣是一个代表。,https://movie.douban.com/subject/1305690/
朗读者,8.6,464330人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,https://movie.douban.com/subject/2213597/
再次出发之纽约遇见你,8.6,440727人评价,爱我就给我看你的播放列表。,https://movie.douban.com/subject/6874403/
燃情岁月,8.7,296391人评价,传奇，不是每个人都可以拥有。,https://movie.douban.com/subject/1295865/
